Generation,Winner STDDev
2,0.470077293861
3,0.40553006687
4,0.364930339611
5,0.343136110977
6,0.351363634142
7,0.287193190704
8,0.293156761016
9,0.172940027867
10,0.140646707832
11,0.133353116424
12,0.135158053646
13,0.127124809054
14,0.132387880974
15,0.134143349459
16,0.136367391548
17,0.137338043055
18,0.135727897553
19,0.119893401791
20,0.0557973568618
21,0.0434751755302
22,0.0440575753499
23,0.0407306501124
24,0.0412079255183
25,0.0370828129411
26,0.037292614132
27,0.0350622569481
28,0.0385758678332
29,0.0410140479556
30,0.0333956173445
31,0.0366993427307
32,0.0360321933398
33,0.0341150561762
34,0.030099465771
35,0.031715660217
36,0.0335091719066
37,0.0307594484936
38,0.0297604829271
39,0.0283248074656
40,0.0298086664782
41,0.0274930606899
42,0.0298222323606
43,0.0372403204014
44,0.0327268655037
45,0.0284756565504
46,0.0317945034286
47,0.0327200863156
48,0.0348838270037
49,0.026725856049
50,0.0624073119442
51,0.0548937897506
52,0.0555192666984
53,0.0561684453621
54,0.0534092224974
55,0.0676736376221
56,0.0761851749492
57,0.0797158654342
58,0.0948866144811
59,0.086203845194
60,0.0903014255966
61,0.0842497559565
62,0.073510706815
63,0.0749917528585
64,0.0689187134145
65,0.0802856075569
66,0.0924642087873
67,0.101251812366
68,0.137872753892
69,0.176814240032
70,0.331260024995
71,0.308569678301
72,0.218393104459
73,0.118159450824
74,0.0967685256379
75,0.0873852899668
76,0.0710926491434
77,0.0583454882331
78,0.0494009542954
79,0.0463841846026
80,0.0473558828997
81,0.046276331487
82,0.0452403855059
83,0.0405629305838
84,0.0384900893035
85,0.0361348062764
86,0.0371609854173
87,0.0344909671477
88,0.0327632981938
89,0.0326662185993
90,0.0279535142036
91,0.0275340541978
92,0.0523742454328
93,0.0600824514989
94,0.091925192623
95,0.119816123337
96,0.163066276838
Generation,Winner STDDev
97,0.294017685797
98,0.289202759325
99,0.273500951487
100,0.144746896589
101,0.103683834758
102,0.0890919177523
103,0.0737859329814
104,0.0601849213018
105,0.0503885101796
106,0.0530944649135
107,0.0499961187938
108,0.0604133354294
109,0.0812110499623
110,0.11251271524
111,0.110940388887
112,0.114428999229
113,0.115015572276
114,0.115791212644
115,0.0965025992608
116,0.0410091468701
117,0.0378714531236
118,0.0321009472193
119,0.0265050076748
120,0.0250368240306
121,0.027556290764
122,0.0270493928949
123,0.0259454764869
124,0.036644289233
125,0.0242007114155
126,0.0368585085536
127,0.0394027589125
128,0.0531898782007
129,0.0643857280681
130,0.0771219231197
131,0.0837471625144
132,0.0817539083341
133,0.0169505295512
134,0.0172508762602
135,0.0166014594176
136,0.0147749635649
137,0.00757137669105
Generation,Winner STDDev
138,0.0207879620404
139,0.0180102381514
140,0.0153376783393
141,0.0147242698337
142,0.0138116944985
143,0.0155860819732
144,0.0179981703274
145,0.0356658682707
146,0.0339355716961
147,0.0419711027425
148,0.0551974547722
149,0.0754693218658
150,0.0745825492417
151,0.150042557543
152,0.192156865828
153,0.210245311391
154,0.196491450414
155,0.188810928929
156,0.175096213332
157,0.0521389801011
158,0.0387060959256
159,0.0280121899191
160,0.0267517091885
161,0.0237143495419
162,0.0232200228745
163,0.0233024547947
164,0.0353155852527
165,0.0381808722507
166,0.0473818589452
167,0.0612707620971
168,0.0726101511061
169,0.103724984265
170,0.10543291427
171,0.109939235091
172,0.0726362621884
173,0.0340630445288
174,0.0344989417423
175,0.0410038089229
176,0.052081039596
177,0.069780185364
178,0.0859858376098
179,0.0890983686378
180,0.123834253348
181,0.156536157442
182,0.193369609575
183,0.183015323602
184,0.174737921025
